"","Date","Sum.of.Cases","Sum.of.Death","Change"
"1","March 22",351,3,NA
"2","March 26",621,8,NA
"3","March 27",796,9,175
"4","March 28",966,10,170
"5","March 29",1050,10,84
"6","March 30",1183,15,133
"7","March 31",1351,23,168
"8","April 1",1511,33,160
"9","April 2",1707,30,196
"10","April 3",1914,40,207
"11","April 4",2054,57,140
"12","April 5",2329,63,275
"13","April 6",2498,74,169
"14","April 7",2813,89,315
"15","April 8",3081,100,268
"16","April 9",3458,107,377
"17","April 10",3906,137,448
"18","April 11",4235,142,329
"19","April 12",4493,146,258
"20","April 13",4812,169,319
"21","April 14",5148,204,336
"22","April 15",5391,191,243
"23","April 16",5711,279,320
"24","April 17",6074,263,363
"25","April 18",6394,282,320
"26","April 19",6761,279,367
"27","April 20",7167,323,406
"28","April 21",NA,NA,NA
"29","April 22",8081,414,NA
"30","April 23",8846,436,765
"31","April 24",9167,466,321
"32","April 25",9461,492,294
"33","April 26",9766,527,305
"34","April 27",10043,564,277
"35","April 28",10310,585,267
"36","April 29",10602,640,292
"37","April 30",10940,681,338
"38","May 1",11330,730,390
"39","May 2",11642,751,312
"40","May 3",11757,765,115
"41","May 4",12185,831,428
"42","May 5",12440,868,255
"43","May 6",12787,913,347
"44","May 7",13181,951,394
"45","May 8",13514,989,333
"46","May 9",13717,1038,203
"47","May 10",14006,1055,289
"48","May 11",14273,1078,267
"49","May 12",14566,1126,293
"50","May 13",14850,1147,284
"51","May 14",15105,1167,255
"52","May 15",15397,1184,292
"53","May 16",15634,1204,237
"54","May 17",15889,1224,255
"55","May 18",16128,1235,239
"56","May 19",16525,1247,397
"57","May 20",16880,1281,355
"58","May 21",17207,1304,327
"59","May 22",17618,1317,411
"60","May 23",18027,1333,409
"61","May 24",18310,1349,283
"62","May 25",18653,1372,343
"63","May 26",18935,1393,282
"64","May 27",19206,1415,271
"65","May 28",19545,1440,339
"66","May 29",19851,1460,306
"67","May 30",20138,1473,287
"68","May 31",20348,1480,210
"69","June 1",20588,1485,240
"70","June 2",20848,1494,260
"71","June 3",21057,1507,209
"72","June 4",21339,1546,282
"73","June 5",21678,1554,339
"74","June 6",21678,1554,0
"75","June 7",22302,1601,624
"76","June 8",22542,1619,240
"77","June 9",22710,1630,168
"78","June 10",22886,1638,176
"79","June 11",23025,1648,139
"80","June 12",23180,1656,155
"81","June 13",23331,1662,151
"82","June 14",23466,1669,135
"83","June 15",23602,1675,136
"84","June 16",24202,1737,600
"85","June 17",24338,1744,136
"86","June 18",24481,1735,143
"87","June 19",24612,1743,131
"88","June 20",24734,1769,122
"89","June 21",24866,1774,132
"90","June 22",24988,1780,122
"91","June 23",25153,1800,165
"92","June 24",25317,1811,164
"93","June 25",25444,1812,127
"94","June 26",25525,1814,81
"95","June 27",25660,1823,135
"96","June 28",25813,1828,153
"97","June 29",25891,1837,78
"98","June 30",25988,1852,97
"99","July 1",26087,1856,99
"100","July 2",26217,1860,130
"101","July 3",26341,1862,124
"102","July 4",26430,1864,89
"103","July 5",26518,1865,88
"104","July 6",26647,1854,129
"105","July 7",26718,1855,71
"106","July 8",26818,1860,100
"107","July 9",26871,1862,53
"108","July 10",26970,1870,99
"109","July 11",27015,1870,45
"110","July 12",27055,1871,40
"111","July 13",27254,1874,199
"112","July 14",27303,1876,49
"113","July 15",27391,1884,88
"114","July 16",27443,1886,52
"115","July 17",27539,1894,96
"116","July 18",27598,1894,59
"117","July 19",27648,1894,50
"118","July 20",27805,1898,157
"119","July 21",27838,1898,33
"120","July 22",27935,1913,97
"121","July 23",27979,1913,44
"122","July 24",28087,1916,108
"123","July 25",28107,1916,20
"124","Jul 26",28112,1916,5
